"Показник","Територіальний розріз","Категорія Розрізу","Розріз","Географічна ознака","Вид економічної діяльності","Кількість зайнятих працівників","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Спеціальне значення даних","Примітки набору даних","Примітки часового ряду","Примітки спостереження","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","Усього","Усього","Не застосовується","Постачання електроенергії, газу, пари та кондиційованого повітря","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","1","7","4","5","3","4","4","7","2"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова для ринку","Не застосовується","Інша діяльність щодо поводження з відходами","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова лише для підприємства","Не застосовується","Виробництво коксу та продуктів нафтоперероблення","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","1","1","1","2","1","1","","",""
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Дніпропетровська","За ступенем новизни продукції","Нова лише для підприємства","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","16","38","16","41","17","38","11","29","17"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","Усього","Усього","Не застосовується","Виробництво машин і устатковання, н.в.і.у.","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","48","76","48","58","31","20","20","14","20"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова для ринку","Не застосовується","Добування інших корисних копалин та розроблення кар'єрів","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","2","2","1","1","","1","","",""
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Дніпропетровська","За ступенем новизни продукції","Нова для ринку","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","5","14","4","18","3","15","6","12","7"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова для ринку","Не застосовується","Металургійне виробництво","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","3","2","2","1","","1","1","1",""
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова лише для підприємства","Не застосовується","Виробництво хімічних речовин і хімічної продукції","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","24","27","20","36","16","10","9","6","9"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова для ринку","Не застосовується","Водопостачання; каналізація, поводження з відходами","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","","1"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова для ринку","Не застосовується","Виробництво іншої неметалевої мінеральної продукції","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","7","7","4","7","3","3","4","1","3"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова лише для підприємства","Не застосовується","Добування кам'яного та бурого вугілля","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","1","","","","1","","","",""
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова для ринку","Не застосовується","Виробництво тютюнових виробів","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова лише для підприємства","Не застосовується","Оброблення деревини та виготовлення виробів з деревини та корка, крім меблів; виготовлення виробів із соломки та рослинних матеріалів для плетіння","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","9","14","6","13","8","8","5","10","7"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","Усього","Усього","Не застосовується","Виробництво шкіри, виробів зі шкіри та інших матеріалів","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","1","8","3","3","","","","1",""
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова для ринку","Не застосовується","Добування металевих руд","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","","1"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","Усього","Усього","Не застосовується","Виробництво автотранспортних засобів, причепів і напівпричепів","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","14","20","16","17","5","6","8","10","10"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","Усього","Усього","Не застосовується","Переробна промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","438","651","426","556","267","239","241","312","263"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","Усього","Усього","Не застосовується","Виробництво тютюнових виробів","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","1","1","1","1","1","","","",""
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова для ринку","Не застосовується","Виробництво комп'ютерів, електронної та оптичної продукції","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","11","14","8","14","9","8","8","2","7"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","Усього","Усього","Не застосовується","Промисловість","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","450","674","442","573","282","250","248","330","271"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","Усього","Усього","Не застосовується","Виробництво меблів","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","14","18","13","16","9","8","8","8","9"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","Усього","Усього","Не застосовується","Виробництво комп'ютерів, електронної та оптичної продукції","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","23","33","22","34","16","16","18","7","16"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова для ринку","Не застосовується","Каналізація, відведення й очищення стічних вод","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","","","","","","","","",""
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","За ступенем новизни продукції","Нова для ринку","Не застосовується","Текстильне виробництво","Не застосовується","Річна","Одиниця","Одиниці","Нуль","Явищ не було","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","2","4","1","2","","","","1","1"
"Кількість промислових підприємств, що реалізували інноваційну продукцію (товари, послуги)","Україна","Усього","Усього","Не застосовується","Виробництво паперу та паперових виробів","Не застосовується","Річна","Одиниця","Одиниці","Нуль","","","Дані за 2014-2021 роки наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м.Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. Починаючи з 2022 року дані наведено без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії.","Дані можуть бути уточнені.","","","5","9","8","9","5","5","5","3","5"
